Year,Competition,تيم,امتياز,بازی,برد,باخت,30,31,32,23,13,03,برده,برده,باخته,باخته,معدل,معدل,برده,برده,باخته,باخته,معدل,معدل
90-91,آرشیو جدول های لیگ برتر والیبال,نوین کشاورز,27,26,9,17,,,,,,,0,0,0,0,0.000,0,0,0,0,0,0.000,0
90-91,آرشیو جدول های لیگ برتر والیبال,آلومینیوم‌المهدی,15,25,5,20,,,,,,,0,0,0,0,0.000,0,0,0,0,0,0.000,0
90-91,آرشیو جدول های لیگ برتر والیبال,کرمان,9,26,3,23,,,,,,,0,0,0,0,0.000,0,0,0,0,0,0.000,0
90-91,آرشیو جدول های لیگ برتر والیبال,مناطق نفت خیز,3,26,1,25,,,,,,,0,0,0,0,0.000,0,0,0,0,0,0.000,0
2015 (مرحله گروهی),جام جهانی والیبال,آمریکا,30,11,10,1,7,3,,,1,,31,899,6,746,5.167,1.205,31,899,6,746,5.167,1.205
2015 (مرحله گروهی),جام جهانی والیبال,ایتالیا,29,11,10,1,6,3,1,,,1,30,918,8,780,3.750,1.177,30,918,8,780,3.750,1.177
2015 (مرحله گروهی),جام جهانی والیبال,لهستان,29,11,10,1,3,6,1,,1,,31,1011,11,884,2.818,1.144,31,1011,11,884,2.818,1.144
2015 (مرحله گروهی),جام جهانی والیبال,روسیه,23,11,8,3,6,1,1,,1,2,25,885,12,794,2.083,1.115,25,885,12,794,2.083,1.115
2015 (مرحله گروهی),جام جهانی والیبال,آرژانتین,21,11,7,4,4,2,1,1,3,,26,985,16,922,1.625,1.068,26,985,16,922,1.625,1.068
2015 (مرحله گروهی),جام جهانی والیبال,ژاپن,16,11,5,6,3,1,1,2,2,2,21,928,21,934,1.000,0.994,21,928,21,934,1.000,0.994
2015 (مرحله گروهی),جام جهانی والیبال,کانادا,13,11,5,6,3,,2,,3,3,18,886,22,940,0.818,0.943,18,886,22,940,0.818,0.943
2015 (مرحله گروهی),جام جهانی والیبال,ایران,12,11,4,7,2,1,1,1,2,4,16,905,24,893,0.667,1.013,16,905,24,893,0.667,1.013
2015 (مرحله گروهی),جام جهانی والیبال,استرالیا,12,11,4,7,2,1,1,1,1,5,15,831,24,925,0.625,0.898,15,831,24,925,0.625,0.898
2015 (مرحله گروهی),جام جهانی والیبال,مصر,8,11,2,9,,1,1,3,1,5,13,889,30,976,0.433,0.911,13,889,30,976,0.433,0.911
2015 (مرحله گروهی),جام جهانی والیبال,ونزوئلا,3,11,1,10,,,1,1,3,6,8,815,32,981,0.250,0.831,8,815,32,981,0.250,0.831
2015 (مرحله گروهی),جام جهانی والیبال,تونس,2,11,0,11,,,,2,1,8,5,747,33,924,0.152,0.808,5,747,33,924,0.152,0.808
